PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,TOR,AST/TO,PPR,USG%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV
A. Bongo,ADMU,32.2,10.0,19.86,0.45179920628190656,15.39259015421265,0.46689269993025917,0.44031310911551175,0.026579590814747447,6.4,4.39,44.30719656283566,38.80597014925373,0.8861439312567132,0.2537313432835821,7.70945398275735,4.4428647591967305,11.862818120193154,3.6611571913927943,14.70736122284795,1.408137381304921,2.6,1.8928244474881626,18.98978008681447,31.802469135802472,97.33540028147179,96.97543708096605,38.77170968395621,0.5453931516567286,44.864896815468335,4.3173862310385065,1.0774960475223583
J. Bahay,ADMU,51.6,10.0,23.59833333334,0.8296626577470713,17.886693730084648,0.44893286283354084,0.4870455085799763,-0.03811264574643548,7.8,6.1,39.25381734370498,34.552845528455286,0.7850763468740997,0.2926829268292683,6.488159732926805,2.991238164874541,10.934384108926775,10.428590459318974,47.51322144705505,3.0811744538896964,3.3846153846153846,7.095967933642375,30.53136243968193,50.96296296296296,89.45606392502718,99.17667945724051,39.12452846826538,0.49414869879368467,43.03933613332362,6.18436406067678,1.249832050008342
J. Lazaro,ADMU,40.0,9.0,23.009259259244445,0.7105847935755122,17.717104716721284,0.40353259175587186,0.3422813148079651,0.061251276947906795,9.555555555555555,5.922222222222223,46.09144542772861,46.57534246575342,0.9218289085545722,0.2602739726027397,12.879226578994404,8.521718546579047,18.419659229627786,3.781265360144279,17.288561954507138,3.2410845944093825,1.1666666666666667,-1.3202061015567423,21.392277179823353,39.50617283950617,90.85763286909955,95.76841509606554,42.76043836804428,0.5734923659352472,48.42831913605593,6.301050175029172,1.3447902251609745
K. Porter,ADMU,39.3,10.0,23.645,0.4965552700992023,15.041087303444266,0.38696513914051145,0.20169018524152857,0.18527495389898285,8.7,5.19,39.49710725411661,37.17948717948718,0.7899421450823321,0.34615384615384615,14.830650526847835,8.95600363215703,22.300076910956093,1.4192738452636446,5.833276320859005,1.8923651270181927,0.75,-1.7343583011029775,19.642463889814547,38.81481481481481,85.92280960900375,92.13281230343875,39.927796853985356,0.6581284232561266,46.382212008779426,5.950991831971995,1.3565010826918096
I. Espinosa,ADMU,31.2,10.0,17.15,0.3963148673912665,15.46485646330289,0.34572985013080965,0.21131746958945724,0.1344123805413524,6.3,3.8900000000000006,42.710706150341686,34.883720930232556,0.8542141230068337,0.5116279069767442,9.21567233165043,2.5724575544503514,17.662308294904825,6.1964613348291415,23.828324585442896,2.9351658954453828,2.111111111111111,2.1919238208230265,17.065599990381113,30.814814814814813,89.82611470190822,92.1314976337233,41.29524829554389,0.6581590284866047,46.40860701377291,5.017502917152859,1.064844316803016
S. Quitevis,ADMU,27.8,10.0,26.28833333334,-0.34095057236813797,8.213099662233754,0.23156214761492766,0.30973811688960706,-0.0781759692746794,5.9,2.9299999999999997,46.39737991266376,41.17647058823529,0.9279475982532751,0.17647058823529413,4.133336838344195,2.013865839240784,6.8281766959299715,4.89349389233981,17.671682338462364,1.4893242281034207,3.2857142857142856,3.249928836426925,7.877039260558379,27.456790123456788,100.02527977414057,100.1893751755084,42.59683403910516,0.47057335854096055,44.14808916964583,2.8004667444574096,1.013723965975603
S. Tuano,ADMU,34.5,10.0,20.46833333334,0.6138647881315968,16.84818121070324,0.19060462422320157,0.23657127449043575,-0.04596665026723417,5.8,5.040000000000002,50.25125628140703,50.0,1.0050251256281406,0.49411764705882355,6.273819761239295,5.604065581934883,7.125390864565405,1.912801160318668,10.0458352305795,5.465146172339052,0.35,-7.680194989659072,28.625656853456597,34.07407407407407,85.65076484940644,99.64674613738701,43.339991354760194,0.48320564677320543,52.16629127918457,3.9089848308051343,1.000810148179291
A. Balogun,ADMU,20.6,10.0,11.25,0.15721337883669884,13.628879035215686,0.166111145822654,0.09643533045408259,0.0696758153685714,4.1,2.2100000000000004,41.96337741607324,29.629629629629626,0.8392675483214649,1.037037037037037,16.682926829268293,13.333333333333334,20.941828254847646,0.9943327428521147,3.7854889589905363,4.474497342834517,0.2222222222222222,-6.986701827261762,20.380541756490764,20.34567901234568,85.27347364179187,93.3568475859102,43.77928034651767,0.62963314304011,53.955449738365445,1.4585764294049008,0.7715580340143142
C. Koon,ADMU,39.625,8.0,24.733333333325,-0.005671347252043375,10.762388436775888,0.09637081946338723,0.09588741290762896,0.00048340655575826555,5.75,3.7124999999999995,35.86332811684924,33.582089552238806,0.7172665623369848,0.3283582089552239,7.987640523308194,3.5674647217389537,13.607753246079056,5.653424877235542,22.47328176502181,1.6960274631706627,3.3333333333333335,3.7996792648713864,19.82755446353921,39.1358024691358,83.04240296408814,97.95473055290324,36.677467118360916,0.5225954085718866,43.64769503377901,2.6837806301050176,0.8411028005792861
F. Edu,ADMU,14.8,5.0,4.416666666679999,0.027921351252845294,13.361369781949417,0.046689210185568125,0.04383524336205791,0.002853966823510216,1.4,0.78,52.52100840336135,66.66666666666666,1.050420168067227,1.3333333333333333,8.946157386075155,7.991120976668441,10.160455757038266,5.065468689986048,20.11797578384509,2.532734344993024,2.0,1.5475057369606073,12.376537915312522,14.617283950617283,100.77172473228275,97.00971126772023,51.92767981150772,0.5445952559018244,72.63170727575209,0.11668611435239207,0.20492938431708813
