PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,TOR,AST/TO,PPR,USG%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV
S. Enriquez,NU,33.1,10.0,18.30166666667,1.068902915371802,22.559339913834428,0.8001670110340801,0.7935548698096176,0.006612141224462433,7.4,5.87,54.58179581795818,50.0,1.0916359163591636,0.27586206896551724,4.350712653129897,2.4892862158467994,6.319787848231777,7.540721518835043,29.871388735791154,2.7146597467806153,2.7777777777777777,4.2917892714014325,18.35957882322428,33.1,113.63117618014962,97.70698866393185,46.25725524023797,0.506177361935142,48.95712334095696,7.579462102689487,1.201446661775317
I. Manansala,NU,39.2,10.0,22.92999999999,1.0376028932008088,19.915428762906828,0.7691299486137528,0.6468610057596288,0.12226894285412407,9.8,6.480000000000001,46.83597002497918,41.46341463414634,0.9367194004995837,0.3902439024390244,12.460282848426093,9.536799628863708,15.552834977071607,2.64820844012841,11.064088733998075,2.888954661958266,0.9166666666666666,-2.0850917785384495,21.390859069219978,39.2,98.76270352015992,94.04773777325174,48.433110112586334,0.5892682920436143,48.624145650527076,8.190709046454767,1.4832018620846863
K. Padrones,NU,30.6,10.0,19.71166666666,0.9267353886524283,20.269927105057974,0.6871311219593609,0.6248343555499718,0.06229676640938911,9.3,5.590000000000001,56.451612903225815,56.38297872340425,1.1290322580645162,0.425531914893617,13.544208474679188,12.942857093335283,14.180336803377925,1.6803178421923537,6.754104173617175,2.800529736987256,0.6,-3.118533068428929,15.149192784591948,30.6,108.67629731887176,95.6464985324102,53.13521091962775,0.5529650916159679,55.8246091971862,6.295843520782396,1.4260768066414555
J. Figueroa,NU,50.6,10.0,30.32,0.6171743470121087,14.911426245034098,0.5031945328188949,0.2789715601502781,0.22422297266861685,11.2,6.1899999999999995,45.34766543500168,40.95238095238095,0.9069533087000337,0.3047619047619048,10.968096741702867,4.507726242780126,17.802079028515116,4.9158441094002905,19.985492013205228,5.462049010444767,0.9,-4.054847251571731,22.313984767577125,50.6,85.31946113914746,92.52915671764038,40.45199412833145,0.6237508449282027,45.48841394832578,9.229828850855746,1.639435074536705
P. Francisco,NU,18.9,10.0,10.58999999999,0.37914701654570243,18.01627481829633,0.2548020646280131,0.1768344147990365,0.0779676498289766,3.7,2.63,43.90243902439025,43.90243902439025,0.8780487804878049,0.0,7.076624361728337,6.8831858825922545,7.281249644477107,3.127654881904471,12.999041320718863,2.606379068253726,1.2,-0.9674454569387076,19.712822741245176,18.9,92.25374784327596,92.55332542414885,39.05935119706206,0.6232020439950874,43.28601801921112,2.8117359413202934,0.7143844592397374
G. Santiago,NU,13.3,10.0,8.28333333334,-0.05481467796088811,9.489889303404873,0.11227238052768948,0.043994125482895045,0.06827825504479444,2.0,1.02,35.30166880616174,22.0,0.7060333761232349,0.56,10.1781650087799,6.599964250188333,13.963297859434594,1.3328718390064553,4.56243405856624,1.9993077585096828,0.6666666666666666,-2.0614179857068398,18.71542392543005,13.3,83.72096208802566,91.90519683674793,36.14243453140585,0.6379191565314793,43.02016591041024,0.3056234718826406,0.45035314714436947
P. Palacielo,NU,34.4,10.0,20.9,0.0538415476533112,11.33780627168974,0.10223981592625253,-0.1406406767451265,0.24288049267137904,7.2,3.0200000000000005,36.7140890316659,35.80246913580247,0.7342817806333181,0.1728395061728395,13.67053998632946,7.411363363887042,20.291693088142043,2.6412970653378847,10.905422721448241,4.226075304540616,0.625,-4.5752300939584485,22.400204980549645,34.4,74.92795929875145,89.41840804273025,37.779762339891825,0.6943868872368345,42.339334093555834,3.4841075794621026,1.177009796518353
T. Garcia,NU,17.125,8.0,10.3583333333375,0.0802633775597796,12.766855055049382,0.08605080234125176,0.10705196680227025,-0.02100116446101849,2.75,1.6,55.33484676503973,50.0,1.1066969353007945,0.8076923076923077,3.9565830948377054,2.199103132438269,5.815700452653013,5.995510595211459,25.82088909926706,9.326349814773382,0.6428571428571429,-9.890826119678636,26.966533349167975,17.125,86.07098877593604,99.83851738398225,44.008211583820625,0.457776552809701,55.22361778817892,0.36674816625916873,0.48372408956048846
N. Tulabut,NU,11.571428571428571,7.0,5.9333333333428575,0.10897186982008975,16.09367877218368,0.07026488632439086,0.060113658202327704,0.010151228122063153,2.7142857142857144,1.2999999999999996,47.66949152542373,50.0,0.9533898305084746,0.1111111111111111,14.660496727678415,13.162850049522378,16.244754298065168,7.974766901914262,30.021765780132803,5.3165112679428415,1.5,0.0,14.685523286474158,11.571428571428571,91.57324953254556,96.17377166330814,41.187862901668765,0.5409922545035682,47.97010885958543,1.2836185819070904,0.4333570896870438
B. Parks,NU,8.75,8.0,3.75625,0.037195523643590495,13.307953494962293,0.05158047369685835,0.016218431152481432,0.035362042544376915,1.25,0.7000000000000001,44.37869822485207,40.0,0.8875739644970414,0.8,10.910777120100379,6.064304367436201,16.037527815087305,3.6740837714184225,13.026027631461115,3.674083771418422,1.0,-2.2729334196275635,13.229595783745946,8.75,84.88783621592493,89.31044953356603,43.955502368500454,0.6968383105493017,53.29433993063263,0.7334963325183375,0.2677815834239758
